City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current description
309,Marabba,SD,12.35,32.1833,82.85,15,19,9.48,few clouds
310,Nema,RU,57.5067,50.5011,20.39,83,43,10.87,scattered clouds
311,Vuktyl,RU,63.8567,57.3094,12.56,92,67,7.96,broken clouds
312,Ban Nahin,LA,18.2418,104.2122,73.38,91,46,3.87,scattered clouds
313,Guerrero Negro,MX,27.9769,-114.0611,68.68,38,1,8.12,clear sky
314,Mingshui,CN,36.7167,117.5,55.54,62,100,3.74,overcast clouds
315,Necochea,AR,-38.5473,-58.7368,75.61,54,94,9.71,overcast clouds
316,Sambava,MG,-14.2667,50.1667,75.51,82,22,1.99,few clouds
317,Havoysund,NO,70.9963,24.6622,35.83,52,77,8.84,broken clouds
318,Tupiza,BO,-21.45,-65.7167,77.61,15,18,5.35,few clouds
319,Bara,NG,10.3744,10.7288,80.31,24,16,6.96,few clouds
320,Wynyard,AU,-41.0,145.7167,51.98,87,100,10.56,overcast clouds
321,Verkhnyaya Sinyachikha,RU,57.976,61.6673,8.71,81,51,5.28,broken clouds
322,Rush,IE,53.5223,-6.0931,46.99,82,20,13.8,few clouds
323,Sorland,NO,67.667,12.6934,44.46,54,20,9.95,few clouds
324,Chuy,UY,-33.6971,-53.4616,77.29,51,28,10.94,scattered clouds
325,Blackwater,AU,-23.5833,148.8833,70.18,82,38,9.93,scattered clouds
326,Maragogi,BR,-9.0122,-35.2225,81.79,67,29,12.21,scattered clouds
327,Samarai,PG,-10.6167,150.6667,82.53,80,99,12.12,overcast clouds
328,Poum,NC,-20.2333,164.0167,77.27,75,55,17.67,broken clouds
329,Papetoai,PF,-17.4961,-149.8729,76.59,80,95,0.98,light rain
330,Asfi,MA,32.2994,-9.2372,67.08,64,76,20.4,broken clouds
331,Saint-Augustin,CA,51.226,-58.6502,31.15,94,100,5.48,light snow
332,Pacifica,US,37.6138,-122.4869,57.67,85,20,3.44,mist
333,Oktyabrskoye,RU,43.0645,44.7417,37.54,75,75,6.71,broken clouds
334,Novaky,SK,48.7111,18.5339,39.43,91,100,6.06,overcast clouds
335,Port Dover,CA,42.7834,-80.1997,36.21,72,93,21.56,overcast clouds
336,Nanortalik,GL,60.1432,-45.2371,27.52,87,98,6.33,overcast clouds
337,Cockburn Town,TC,21.4612,-71.1419,81.59,73,15,17.9,few clouds
338,Nguruka,TZ,-5.1092,31.0419,66.9,88,90,2.15,light rain
339,Kavieng,PG,-2.5744,150.7967,80.58,72,100,8.03,overcast clouds
340,Abeche,TD,13.8292,20.8324,80.33,17,0,8.7,clear sky
341,Collie,AU,-33.3667,116.15,47.7,72,62,4.59,broken clouds
342,Asosa,ET,10.0667,34.5333,66.6,54,64,4.63,broken clouds
343,Coquimbo,CL,-29.9533,-71.3436,64.13,77,75,10.36,broken clouds
344,Atar,MR,20.5169,-13.0499,82.6,11,0,12.24,clear sky
